web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,Adj Close**,Volume,Empresa
1615775549-3836,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 08, 2020","1,206.50","1,219.07","1,188.16","1,210.28","1,210.28","1,975,100",Google
1615775549-3701,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 20, 2020","1,527.05","1,577.50","1,525.67","1,555.93","1,555.93","2,241,700",Google
1615775549-3721,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 22, 2020","1,450.09","1,469.52","1,434.53","1,465.46","1,465.46","1,583,200",Google
1615775549-3841,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 01, 2020","1,122.00","1,129.69","1,097.45","1,105.62","1,105.62","2,344,200",Google
1615775549-3786,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 19, 2020","1,444.00","1,447.80","1,421.35","1,431.72","1,431.72","3,157,900",Google
1615775549-3712,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Oct 05, 2020","1,466.21","1,488.21","1,464.27","1,486.02","1,486.02","1,113,300",Google
1615775549-3740,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 25, 2020","1,582.07","1,611.62","1,582.07","1,608.22","1,608.22","2,247,100",Google
1615775549-3790,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 15, 2020","1,390.80","1,424.80","1,387.92","1,419.85","1,419.85","1,503,900",Google
1615775549-3715,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 30, 2020","1,466.80","1,489.75","1,459.88","1,469.60","1,469.60","1,701,600",Google
1615775549-3656,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Dec 23, 2020","1,728.11","1,747.99","1,725.04","1,732.38","1,732.38","1,033,800",Google
1615775549-3800,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 01, 2020","1,418.39","1,437.96","1,418.00","1,431.82","1,431.82","1,217,100",Google
1615775549-3846,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 25, 2020","1,126.47","1,148.90","1,086.01","1,102.49","1,102.49","4,081,500",Google
1615775549-3819,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 04, 2020","1,308.23","1,327.66","1,299.00","1,326.80","1,326.80","1,504,000",Google
1615775549-3793,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 10, 2020","1,459.54","1,474.26","1,456.27","1,465.85","1,465.85","1,525,200",Google
1615775549-3738,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 27, 2020","1,653.68","1,655.00","1,625.75","1,634.33","1,634.33","1,861,600",Google
1615775549-3811,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"May 14, 2020","1,335.02","1,357.42","1,323.91","1,356.13","1,356.13","1,603,100",Google
1615775549-3633,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 28, 2021","1,843.94","1,898.83","1,842.64","1,863.11","1,863.11","1,773,100",Google
1615775549-3611,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 02, 2021","2,076.19","2,104.37","2,071.26","2,075.84","2,075.84","1,133,600",Google
1615775549-3627,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 05, 2021","2,070.00","2,102.51","2,059.33","2,098.00","2,098.00","1,533,900",Google
1615775549-3608,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Mar 05, 2021","2,073.12","2,118.11","2,046.42","2,108.54","2,108.54","2,193,800",Google
1615775549-3619,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Feb 18, 2021","2,110.39","2,132.74","2,103.71","2,117.20","2,117.20","1,121,600",Google
1615775549-3751,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Aug 10, 2020","1,487.18","1,504.07","1,473.08","1,496.10","1,496.10","1,289,300",Google
1615775549-3783,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 24, 2020","1,461.51","1,475.42","1,429.75","1,431.97","1,431.97","1,756,000",Google
1615775549-3770,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jul 14, 2020","1,490.31","1,522.95","1,483.50","1,520.58","1,520.58","1,585,000",Google
1615775549-3641,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jan 15, 2021","1,738.19","1,756.00","1,721.55","1,736.19","1,736.19","1,342,200",Google
1615775549-3716,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Sep 29, 2020","1,470.39","1,476.66","1,458.81","1,469.33","1,469.33","978,200",Google
1615775549-3779,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Jun 30, 2020","1,390.44","1,418.65","1,383.96","1,413.61","1,413.61","2,042,400",Google
1615775549-3822,https://finance.yahoo.com/quote/GOOG/history?p=GOOG,"Apr 29, 2020","1,341.46","1,359.99","1,325.34","1,341.48","1,341.48","3,793,600",Google
