web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close*,name
"1620589824-1028","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2015","27.54","29.22","26.84","27.58","Apple Inc. (AAPL)"
"1620589814-799","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2011","269.37","278.22","254.30","256.56","Alphabet Inc. (GOOG)"
"1620589819-838","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2018","293.19","298.72","231.23","267.66","Netflix, Inc. (NFLX)"
"1620589830-1213","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2011","191.85","199.66","166.97","173.10","Amazon.com, Inc. (AMZN)"
"1620589824-987","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2018","41.66","44.74","40.16","41.31","Apple Inc. (AAPL)"
"1620589835-1256","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2018","151.52","154.13","126.85","140.61","Facebook, Inc. (FB)"
"1620589830-1183","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2014","312.59","340.72","303.84","324.78","Amazon.com, Inc. (AMZN)"
"1620589814-803","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2011","271.83","271.85","255.74","263.52","Alphabet Inc. (GOOG)"
"1620589824-953","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 08, 2020","0.205 Dividend","null","null","null","Apple Inc. (AAPL)"
"1620589819-904","https://finance.yahoo.com/quote/NFLX/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2013","30.52","38.62","30.29","34.93","Netflix, Inc. (NFLX)"
"1620589824-1004","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2017","34.47","36.13","34.26","35.92","Apple Inc. (AAPL)"
"1620589824-942","https://finance.yahoo.com/quote/AAPL/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","133.52","145.09","126.38","131.96","Apple Inc. (AAPL)"
"1620589835-1227","https://finance.yahoo.com/quote/FB/history?period1=1337385600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2021","298.40","331.81","296.04","325.08","Facebook, Inc. (FB)"
"1620589830-1212","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2012","175.89","196.50","173.50","194.44","Amazon.com, Inc. (AMZN)"
"1620589814-737","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2016","769.25","789.85","754.00","777.29","Alphabet Inc. (GOOG)"
"1620589830-1199","https://finance.yahoo.com/quote/AMZN/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2013","268.93","274.30","255.11","264.27","Amazon.com, Inc. (AMZN)"
"1620589814-691","https://finance.yahoo.com/quote/GOOG/history?period1=1293840000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","1,411.10","1,586.99","1,409.82","1,482.96","Alphabet Inc. (GOOG)"
